id,query
251,tratamentos medicina natural alternativa hemopatia quiroprática 
252,esquemas pensões  benefícios reforma qualquer país europeu
253,países ainda é usada ou pelo menos constitucionalmente permitida a pena de morte? 
254,danos causados a pessoas e bens por tremores de terra e que especifiquem a área afetada.
255,O uso frequente da Internet produz habituação? 
256,sintomas variante da doença de Creutzfeldt-Jakob encefalopatia espongiforme (BSE) conhecida doença das vacas loucas. 
257,incidentes genocídio crimes humanidade Jugoslávia Península Balcânica.
258,problema fuga de cérebros (brain drain)  
259,filmes Urso de Ouro no Festival de Cinema de Berlim.  
260,legislação anti-tabaco  proíba o fumo em locais públicos. 
261,videntes prevêem futuro
262,causas instituições humanitárias recebem fundos dos concertos de beneficência? 
263,decisões árbitro jogo de futebol criticadas.
264,tráfico internacional ilegal de substâncias radioactivas e materiais nucleares. 
265,empresas total ou parcialmente adquiridas pelo Deutsche Bank fase de negociação. 
266,perseguição discriminação violência contra indivíduos etnia cigana na Europa. 
267,filmes candidatos ao Oscar de Melhor Filme Estrangeiro? 
268,problemas éticos e morais clonagem de seres humanos. 
269,ratificação oficial de tratados internacionais.  
270,concorrentes ou rivais reais ou potenciais da Microsoft? 
271,casais homossexuais devem ser reconhecidas pelo Estado como casamentos legais?
272,história presidente da República Checa Vacláv Havel. 
273,expansão Organização do Tratado do Atlântico Norte (OTAN) Leste Europeu membros pacto de Varsóvia. 
274,descoberta bombas não denotadas minas terrestres munições abandonadas Segunda Grande Guerra. 
275,doenças ou problemas médicos são suspeitos fumo ativo ou passivo? 
276,subsídios agrícolas na União Europeia. 
277,eutanásia suspeita hospitais médicos e enfermeiros. 
278,pessoas deficiência física transportes públicos soluções? 
279,realização de referendos na Suíça.  
280,incidentes criminosos alterações criminalidade Nova Iorque.
281,líder sérbio Radovan Karadzic genocídio e crimes humanidade. 
282,casos maus tratos tortura de presos por carcereiros polícia ou militares. 
283,filmes série James Bond atores  
284,missões espacial ônibus espacial dificuldades atrasos fracasso das experiências realizadas. 
285,movimentos anti-aborto restrição revogação das leis que regulamentem o aborto. 
286,lesões jogadores profissionais futebol treinos jogo. 
287,terroristas grupos militantes reféns. 
288,marcas automóveis importadas Estados Unidos? 
289,informação ilhas Malvinas  
290,Flutuação  preço do petróleo preço internacional do petróleo? 
291,Imigrantes ilegais na UE imigração ilegal União Europeia envolvendo problema. 
292,reconstrução dmonumentos edifícios importantes históricos danificados destruídos alemãs bombardeadas Segunda Guerra Mundial.
293,relações China e a Formosa Taiwan. 
294,velocidade ventos furacã tufão?
295,crime colarinho branco branqueamento de dinheiro ilicitamente ganhos legais.  
296,concertos espectáculos musicais obras do compositor húngaro Franz Liszt.  
297,expulsão de diplomatas de qualquer país.  
298,centrais nucleares ou atômicas  acidente e os potenciais riscos  população. 
299,tropas de manutenção de paz das Nações Unidas os capacetes azuis reféns feridos ou mortos. 
300,vencedores de prémios na lotaria.  